2021-01-09 22:27:59,402 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@366e2eef: startup date [Sat Jan 09 22:27:59 CET 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-01-09 22:28:00,274 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Myniz\Desktop\apache-activemq-5.15.14\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2021-01-09 22:28:00,529 | INFO  | PListStore:[C:\Users\Myniz\Desktop\apache-activemq-5.15.14\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-01-09 22:28:00,673 | INFO  | Apache ActiveMQ 5.15.14 (localhost, ID:DESKTOP-NH4IQ29-62273-1610227680544-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-01-09 22:28:00,690 | INFO  | Listening for connections at: tcp://DESKTOP-NH4IQ29:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-09 22:28:00,691 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-01-09 22:28:00,695 | INFO  | Listening for connections at: amqp://DESKTOP-NH4IQ29:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-09 22:28:00,697 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-01-09 22:28:00,701 | INFO  | Listening for connections at: stomp://DESKTOP-NH4IQ29:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-09 22:28:00,703 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-01-09 22:28:00,707 | INFO  | Listening for connections at: mqtt://DESKTOP-NH4IQ29:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-09 22:28:00,710 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-01-09 22:28:00,717 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2021-01-09 22:28:00,882 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
